clock,h,m,k,side,n,gross,net,t,t1,t2,wy,ny,roll
ロンドン,23,45,15,買,2785,0.0007384611864338495,-0.004261538813566151,0.6525249689139809,-0.7812853172791216,1.2905729114081081,5,11,True
ロンドン,23,45,15,売,2785,-0.0007384611864338495,-0.0057384611864338495,-0.6525249689139809,0.7812853172791216,-1.2905729114081081,6,11,True
ロンドン,0,0,30,買,2785,0.003018378120701331,-0.0019816218792986693,1.4399487012401098,0.7264133589178438,1.24728358764226,8,11,True
ロンドン,0,0,30,売,2785,-0.003018378120701331,-0.00801837812070133,-1.4399487012401098,-0.7264133589178438,-1.24728358764226,3,11,True
ロンドン,0,15,30,買,2785,0.0030002093552864923,-0.001999790644713508,1.4410549207188181,1.2576512624757379,0.9120191630359319,9,11,True
ロンドン,0,15,30,売,2785,-0.0030002093552864923,-0.008000209355286492,-1.4410549207188181,-1.2576512624757379,-0.9120191630359319,2,11,True
ロンドン,0,30,30,買,2784,0.002743266591480714,-0.002256733408519286,1.414740558992768,1.002686913268552,1.0266696032539486,7,11,True
ロンドン,0,30,30,売,2784,-0.002743266591480714,-0.007743266591480714,-1.414740558992768,-1.002686913268552,-1.0266696032539486,4,11,True
ロンドン,0,45,30,買,2784,-0.0009867594481289756,-0.005986759448128976,-0.3385110875500249,-0.1898908937307499,-0.2802761596547972,3,11,True
ロンドン,0,45,30,売,2784,0.0009867594481289756,-0.004013240551871024,0.3385110875500249,0.1898908937307499,0.2802761596547972,8,11,True
ロンドン,1,0,30,買,2785,-0.0007597170996860971,-0.005759717099686097,-0.25065518979442175,-0.29346720327582804,-0.08912342720206623,4,11,True
ロンドン,1,0,30,売,2785,0.0007597170996860971,-0.004240282900313903,0.25065518979442175,0.29346720327582804,0.08912342720206623,7,11,True
ロンドン,1,15,30,買,2785,0.006149669600738866,0.0011496696007388656,2.4134411114605814,-0.6192360324332731,3.3447927690828285,7,11,True
ロンドン,1,15,30,売,2785,-0.006149669600738866,-0.011149669600738866,-2.4134411114605814,0.6192360324332731,-3.3447927690828285,4,11,True
ロンドン,1,30,30,買,2785,0.006588276785359611,0.0015882767853596111,2.7165649149687967,0.488023989595043,3.003647152687329,8,11,True
ロンドン,1,30,30,売,2785,-0.006588276785359611,-0.011588276785359612,-2.7165649149687967,-0.488023989595043,-3.003647152687329,3,11,True
ロンドン,1,45,30,買,2785,0.004061308960641135,-0.0009386910393588653,1.3444655439756301,0.8999743637388473,1.0093639808658625,8,11,True
ロンドン,1,45,30,売,2785,-0.004061308960641135,-0.009061308960641135,-1.3444655439756301,-0.8999743637388473,-1.0093639808658625,3,11,True
