A,B,W,zin,H,n,mean,t,first,second,wy,ny,sum
US100Cash,US30Cash,72,2.5,24,623,-0.03976214054683457,-1.1698466124619626,-0.034682392626799036,-0.0441292074154024,4,11,-24.771813560677938
US100Cash,US30Cash,72,2.5,72,556,-0.034148781624489616,-0.6961304996446138,-0.061278047286658206,-0.01099847492610578,5,11,-18.986722583216228
US100Cash,US30Cash,168,1.5,6,1366,-0.017223420294044244,-1.4251513465456558,-0.01615075596024687,-0.018058645908120837,4,11,-23.527192121664434
US100Cash,US30Cash,168,1.5,24,899,0.009725900423085222,0.33478929067800434,-0.001135068654995768,0.018315152861328555,4,11,8.743584480353615
US100Cash,US30Cash,168,1.5,72,600,-0.010989290020919636,-0.21602962919231294,-0.08752189851352611,0.05037469336504411,5,11,-6.593574012551782
US100Cash,US30Cash,168,2.0,6,898,-0.015399029975798242,-0.9558487266125588,-0.005861034592242179,-0.02330527054831824,2,11,-13.828328918266822
US100Cash,US30Cash,168,2.0,24,631,-0.049747397709746025,-1.371820348411092,-0.045919835716667315,-0.052781175539487385,5,11,-31.39060795484974
US100Cash,US30Cash,168,2.0,72,435,-0.054784184357939025,-0.863151282052644,-0.12501260616020987,0.002276408356406012,6,11,-23.831120195703477
US100Cash,US30Cash,168,2.5,6,463,-0.016426491527202713,-0.7435911851598022,-0.043009909529049484,0.005447265805025532,4,11,-7.605465577094856
US100Cash,US30Cash,168,2.5,24,332,0.0312681667180008,0.624195789172551,-0.014881195018275364,0.06976846297312622,8,11,10.381031350376265
US100Cash,US30Cash,168,2.5,72,265,-0.0023253024083038096,-0.027964017575483,-0.1573445929218541,0.12793396253711004,6,11,-0.6162051382005096
