A,B,W,zin,H,n,mean,t,first,second,sum
GER40Cash,EU50Cash,336,1.5,24,527,-0.06094879772136001,-3.6485631489127566,-0.09103654224025794,-0.04342020181545552,-32.120016399156725
GER40Cash,EU50Cash,336,1.5,72,344,-0.10281203101111648,-3.054370466654614,-0.17261418625228803,-0.06297061820222863,-35.36733866782407
GER40Cash,EU50Cash,336,2.0,6,538,-0.06725023224364662,-7.4183237372273485,-0.06079701465746595,-0.07164648672423218,-36.18062494708188
GER40Cash,EU50Cash,336,2.0,24,338,-0.09625299851043229,-4.703501463511649,-0.11101036654192074,-0.08619449393175611,-32.53351349652611
GER40Cash,EU50Cash,336,2.0,72,226,-0.1499684902997749,-3.481313645032225,-0.16675392881398654,-0.13906408133798784,-33.89287880774913
GER40Cash,EU50Cash,336,2.5,6,326,-0.057014097743010105,-4.607393274901005,-0.062493008808959284,-0.05289018618799461,-18.586595864221295
GER40Cash,EU50Cash,336,2.5,24,212,-0.07256414302308105,-2.45458070537233,-0.10177195764271954,-0.05183601651882148,-15.383598320893183
GER40Cash,EU50Cash,336,2.5,72,144,-0.12396221405846969,-2.2601129120377683,-0.13879241227638858,-0.11424587729500559,-17.850558824419636
GER40Cash,FRA40Cash,24,1.5,6,2355,-0.04717955065859077,-7.806662126853774,-0.04405117894955746,-0.049687992549231105,-111.10784180098128
GER40Cash,FRA40Cash,24,1.5,24,1559,-0.046309385539586856,-3.8200214778987003,-0.04440160836530257,-0.04792557117893906,-72.19633205621591
GER40Cash,FRA40Cash,24,1.5,72,1348,-0.04099446586969673,-2.8107974611722653,-0.04314875534809319,-0.039137730186658906,-55.2605399923512
GER40Cash,FRA40Cash,24,2.0,6,1499,-0.04541376140337202,-5.787821420154642,-0.03716506242695156,-0.05209839547725863,-68.07522834365466
GER40Cash,FRA40Cash,24,2.0,24,1159,-0.03741508226211102,-2.5649233151016992,-0.03669616121140777,-0.03799200801975158,-43.364080341786675
GER40Cash,FRA40Cash,24,2.0,72,1035,-0.03406986107467357,-1.9783146744969753,-0.051634010131028724,-0.019797067445691454,-35.26230621228715
GER40Cash,FRA40Cash,24,2.5,6,723,-0.04728013766702072,-3.830559541022125,-0.03117509322506359,-0.05978429993645182,-34.18353953325598
GER40Cash,FRA40Cash,24,2.5,24,661,-0.04101045040012203,-2.0591607283205557,-0.02432244403073063,-0.054379044058435556,-27.10790771448066
GER40Cash,FRA40Cash,24,2.5,72,620,-0.03469898358397045,-1.4566405407707725,-0.04451254611424028,-0.026564437651799885,-21.51336982206168
GER40Cash,FRA40Cash,72,1.5,6,1446,-0.0429936744223098,-5.395888539960474,-0.036324120219580126,-0.048394427324895656,-62.16885321465997
GER40Cash,FRA40Cash,72,1.5,24,934,-0.03543564824583774,-2.032963447682913,-0.01035489112354829,-0.05592965212008203,-33.09689546161245
GER40Cash,FRA40Cash,72,1.5,72,684,-0.023842867325639786,-0.8722678982135315,0.007086339607817059,-0.05009089699349234,-16.308521250737613
GER40Cash,FRA40Cash,72,2.0,6,966,-0.04672769903033523,-4.691860899317053,-0.04116605163424643,-0.05115220662424977,-45.13895726330384
GER40Cash,FRA40Cash,72,2.0,24,628,-0.05060421404948261,-2.2931461110314375,-0.031959687574464386,-0.06599678823234649,-31.77944642307508
